product_category_name_english,Revenue,Orders
bed_bath_table,1712553.6699999974,9417
health_beauty,1657373.120000004,8835
computers_accessories,1585330.4500000025,6689
furniture_decor,1430176.390000006,6449
watches_gifts,1429216.680000004,5624
sports_leisure,1392127.5599999996,7720
housewares,1094758.129999995,5884
auto,852294.3299999968,3897
garden_tools,838280.749999998,3518
cool_stuff,779698.0000000012,3632
office_furniture,646826.4900000005,1273
toys,619037.6900000012,3886
baby,537884.6599999983,2884
perfumery,506738.66000000486,3162
telephony,486882.0500000059,4199
stationery,317440.07000000076,2311
pet_shop,311268.97000000085,1710
computers,279121.55000000005,181
electronics,259857.10000000102,2550
construction_tools_construction,241475.62999999957,748
musical_instruments,233074.1200000004,628
small_appliances,225584.37999999983,630
fashion_bags_accessories,218158.27999999962,1864
fixed_telephony,207010.25999999975,217
consoles_games,195480.3800000004,1062
luggage_accessories,187151.28999999983,1034
home_construction,136645.28999999995,490
furniture_living_room,136138.7700000003,422
home_appliances_2,124563.46,234
agro_industry_and_commerce,118730.60999999978,182
home_appliances,95532.26999999992,764
air_conditioning,91170.66000000003,253
home_confort,84329.05999999994,397
kitchen_dining_laundry_garden_furniture,74660.97999999995,248
construction_tools_lights,72712.47999999994,244
drinks,71429.64999999992,297
signaling_and_security,68488.04999999996,140
construction_tools_safety,65691.02999999998,167
books_general_interest,64694.76000000004,512
audio,60324.62000000003,350
industry_commerce_and_business,56745.75999999996,235
small_appliances_home_oven_and_coffee,51229.32000000001,75
food,46428.66999999994,450
market_place,45335.920000000035,280
costruction_tools_garden,42394.409999999996,194
fashion_shoes,32422.739999999972,240
furniture_bedroom,31598.94,95
art,30992.929999999975,202
food_drink,27289.729999999992,227
books_technical,24915.43999999999,260
costruction_tools_tools,21069.069999999992,97
christmas_supplies,18994.770000000008,128
fashion_male_clothing,17290.980000000007,112
fashion_underwear_beach,12714.539999999994,121
tablets_printing_image,10042.93,79
cine_photo,9530.32,65
dvds_blu_ray,7935.279999999998,59
music,6901.429999999999,38
books_imported,6701.889999999999,53
furniture_mattress_and_upholstery,5998.540000000001,38
party_supplies,5966.31,39
fashio_female_clothing,5109.62,39
diapers_and_hygiene,4221.250000000002,27
fashion_sport,3645.92,27
la_cuisine,2913.53,13
arts_and_craftmanship,2326.17,23
flowers,2213.0100000000007,29
home_comfort_2,1710.5400000000004,24
cds_dvds_musicals,1199.43,12
fashion_childrens_clothes,785.6700000000001,8
security_and_services,324.51,2
