customer_state,Revenue,Orders
SP,5770266.18999989,40500
RJ,2055690.4499999906,12350
MG,1819277.6100000027,11354
RS,861802.3999999963,5345
PR,781919.5499999978,4923
SC,595208.4000000007,3546
BA,591270.6000000021,3256
DF,346146.1700000005,2080
GO,334294.22,1957
ES,317682.6500000003,1995
PE,309074.59000000026,1593
CE,266463.9699999996,1279
PA,212027.54999999996,946
MT,181441.72000000012,886
MA,147807.29000000027,717
PB,137834.65000000002,517
MS,134421.53999999998,701
PI,105272.17000000001,476
RN,100728.29999999997,474
AL,94195.79,397
SE,70289.12999999998,335
TO,60007.36999999996,274
RO,56975.700000000004,243
AM,27596.18,145
AC,19586.250000000004,80
AP,16141.809999999994,67
RR,9039.52,41
